OPC UA服务器地址：opc.tcp://192.168.6.6:4840,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
设备模块,,,,,NodeId,点位名称,数据类型,读写,描述
"真空烘箱
1=启动
2=复位 100=开门，101=关门",,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_TempFB,温度反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_TimeFB,时间反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_PressureFB,真空度反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_CompleteFB,完成反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_TempSet_1,运行温度设置1,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_TimeSet_1,运行时间设置1,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_VacuumHigh_1,真空控制上限1,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_VacuumLow_1,真空控制下限1,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_TempSet_2,运行温度设置2,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_TimeSet_2,运行时间设置2,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_VacuumHigh_2,真空控制上限2,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_VacuumLow_2,真空控制下限2,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_TempSet_3,运行温度设置3,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_TimeSet_3,运行时间设置3,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_VacuumHigh_3,真空控制上限3,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_VacuumLow_3,真空控制下限3,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_TempSet_4,运行温度设置4,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_TimeSet_4,运行时间设置4,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_VacuumHigh_4,真空控制上限4,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_VacuumLow_4,真空控制下限4,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_TempSet_5,运行温度设置5,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_TimeSet_5,运行时间设置5,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_VacuumHigh_5,真空控制上限5,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_VacuumLow_5,真空控制下限5,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_TempSet_6,运行温度设置6,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_TimeSet_6,运行时间设置6,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_VacuumHigh_6,真空控制上限6,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_VacuumLow_6,真空控制下限6,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_STOP,真空烘箱停止,Int16,W,为1时停止
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_CmdType,指令类型,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_CmdTrig,指令触发,Int16,W,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"七个液冷模块
1=温度设置
2=液冷模块开启
3=液冷模块关闭",,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_9320_1_FB,9320液冷模块1温度反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_9320_2_FB,9320液冷模块2温度反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_CentrifugeTube_1_FB,离心管液体处理模块1温度反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_CentrifugeTube_2_FB,离心管液体处理模块2温度反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_CentrifugeTube_3_FB,离心管液体处理模块3温度反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_CentrifugeTube_4_FB,离心管液体处理模块4温度反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_CentrifugeTube_5_FB,离心管液体处理模块5温度反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_Complete_FB,液冷模块开关完成反馈,Int16,R,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_9320_Temperature_1_SET,9320液冷模块1温度设置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_9320_Temperature_2_SET,9320液冷模块2温度设置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_CentrifugeTube_Temperature_1_SET,离心管液体处理模块1温度设置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_CentrifugeTube_Temperature_2_SET,离心管液体处理模块2温度设置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_CentrifugeTube_Temperature_3_SET,离心管液体处理模块3温度设置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_CentrifugeTube_Temperature_4_SET,离心管液体处理模块4温度设置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_CentrifugeTube_Temperature_5_SET,离心管液体处理模块5温度设置,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Cooling_CmdType,指令类型,Int16,W,
,,,,,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Cooling_CmdTrig,指令触发,Int16,W,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
